"#";"Name";"Manufacturer";"Quantity"
"1";"CAP_0805";"";"3"
"2";"DIODE_0805";"";"1"
"3";"ZX62-B-5PA";"Hirose";"1"
"4";"PJ-036AH-SMT";"CUI";"1"
"5";"RES_0805";"";"1"
"6";"MCP1826S-3002E/DB";"Texas Instruments";"1"
